Credit_Card_Number,Credit_Limit,Amount_Spent,Bill_Payment_Due_Date,Minimum_Payment,Customer_Id
4796859096454,27771.31,39591.03,2025-05-12,96.09,ISDE896599
180024089921771,37815.93,11908.36,2025-04-23,499.69,CJQQ814311
346681133973677,13877.95,34487.99,2025-04-15,89.14,LLOT249912
30217340242225,39005.95,9477.84,2025-04-27,414.82,NIJG098591
2720830632365404,34767.55,34441.95,2025-04-18,324.62,ITIV653984
213144424842028,9133.1,5569.4,2025-04-27,142.98,QCDF880133
4094765118616,40466.58,22802.97,2025-04-30,289.53,EJUJ079311
6509941475398911,27399.66,12946.14,2025-04-23,366.82,AKMU829962
30054245190823,29064.04,38095.89,2025-05-02,281.49,IGQT760740
5303565942992020,40943.86,5423.56,2025-04-25,387.54,XXEQ843188
36669692295330,46019.67,39699.45,2025-05-10,440.17,YCMQ457759
6011941183909349,35369.9,5307.63,2025-04-20,115.81,EPUA790320
4406628346334889338,41595.61,30458.94,2025-04-26,354.31,LZVZ289931
4518669408657,7966.41,25296.08,2025-04-27,332.52,SXMZ363212
4382692855074351,23147.59,25345.11,2025-04-15,446.06,LEIG106903
3528895947039699,20739.69,29992.1,2025-05-04,362.62,AKMS659171
4359176504718830099,23280.09,19521.78,2025-05-12,311.88,JCLT597752
372887344966866,42511.2,3725.67,2025-05-04,487.47,CKFQ547815
30470617069017,33543.05,14328.91,2025-04-26,78.5,CBTE268592
3511038471567566,20488.08,38725.14,2025-05-04,421.18,OUFS277423
3505188601674499,14158.31,33133.74,2025-04-22,201.99,SODE529671
4359698504509,7399.12,34096.9,2025-04-30,404.74,SPGY642480
6593754024286173,38350.45,1837.72,2025-05-10,331.78,TZHQ597779
3557140250385767,1797.79,37177.32,2025-04-22,121.09,SUZT996636
6581638493680632,1033.12,38321.27,2025-04-29,141.04,HFSU715096
180030101278967,45560.95,35285.91,2025-05-13,185.84,TTIT993933
349304852775861,5573.66,14417.42,2025-05-07,87.09,UQOU209628
566562036343,45286.21,6621.0,2025-04-28,228.35,PXHW846895
4394689633181231,36573.43,30209.29,2025-04-24,243.15,LEIG106903
376170731744576,35481.2,43.45,2025-05-06,264.56,MYYE218909
6011626367850894,30090.3,20777.77,2025-05-10,250.28,ANOW974034
3574759443485298,35084.26,32684.36,2025-05-01,494.67,BTKF004615
4740376768740,35007.52,19108.01,2025-04-15,153.03,RQGS822587
4076751497534115733,36807.41,4097.09,2025-04-24,191.01,EQDM158148
676290009403,7719.34,30938.42,2025-05-03,388.92,MQJU866618
375823445385653,32437.23,27085.48,2025-04-25,80.79,GMDP061713
343266000470917,1415.26,26000.81,2025-04-17,248.04,PYBB934596
060434956110,11439.72,29930.75,2025-05-13,463.95,CBIT670667
3551181583746610,34641.74,34398.5,2025-04-29,89.01,VKIY777252
3577618687047965,7860.64,4926.29,2025-05-03,378.5,WUHA147195
4829052565995083,48199.19,12580.15,2025-04-17,112.92,TTIT993933
4330292764054739862,32586.41,9926.68,2025-04-22,320.45,PYBB934596
4405131866047471,30772.06,31158.79,2025-04-25,360.71,XAGO583094
4478524744202,43915.53,8217.83,2025-04-23,323.12,QPPF175354
