Account_No,Account_Balance,Account_Type,Account_Type_Description,Customer_Id
GUVS431916,10923.78,Current,Focused bottom-line circuit,KCRF755394
BFDS150576,2599.96,Current,Adaptive client-driven instruction set,TUMB962626
ROMJ486764,91534.07,Current,Networked grid-enabled interface,PFHN929298
WBIK006355,63576.85,Saving,Optimized reciprocal contingency,FFAT124186
OOCD952963,64959.02,Current,Multi-layered grid-enabled budgetary management,VSWQ250714
FQFO636431,4630.15,Saving,Seamless hybrid hardware,TTVU809402
JNVN345443,99593.14,Current,Robust optimizing encryption,VSWQ250714
YTHW449743,23556.52,Saving,Digitized directional application,YEJO286333
SKQN297398,38925.72,Saving,Virtual object-oriented knowledge user,AKMS659171
EBWF170754,58775.3,Current,Reduced clear-thinking time-frame,QICZ560821
EBHA044964,88552.84,Saving,Digitized user-facing help-desk,ISDE896599
DEYD375658,83385.94,Saving,Realigned intermediate workforce,CBIT670667
CSTG145843,93911.4,Current,Quality-focused neutral hub,BWQE771812
BGJF362203,69059.04,Saving,Streamlined bi-directional adapter,BBUK184498
JHVO968680,44525.12,Current,Business-focused coherent workforce,KLFP636556
UCUV774174,10025.53,Current,Public-key high-level application,XPHM826911
FFRT466527,54492.14,Current,Focused 24/7 challenge,MLYR173906
AEKM913303,6148.95,Current,Upgradable system-worthy capability,TTIT993933
VNZO507627,96823.87,Saving,Stand-alone holistic database,SUZT996636
BCFH984723,66310.6,Saving,Persevering asymmetric website,RMWH425563
SZXZ017222,5152.79,Saving,Persistent upward-trending time-frame,PVJF799077
DPUU754619,98883.21,Saving,Public-key leadingedge collaboration,GMDP061713
ZVPU258122,6954.15,Saving,Horizontal transitional extranet,YDMG187328
QXXE373379,58679.67,Saving,Progressive logistical migration,KCRF755394
BHWL869017,77459.42,Current,Customer-focused optimizing process improvement,EJUJ079311
TIWL295171,27799.76,Saving,Realigned logistical contingency,RXRH171210
FALJ221626,54067.52,Saving,Exclusive dedicated frame,CKIU544432
JJOA488789,66139.66,Saving,Multi-layered reciprocal software,LQQI247451
MYQV519537,1584.55,Saving,Right-sized user-facing functionalities,KLFP636556
NHIF777522,1676.53,Current,Quality-focused attitude-oriented circuit,EBVX679981
ZTEA592294,12763.18,Saving,Intuitive foreground system engine,OYOV725199
VWSM363726,74591.96,Saving,Managed stable firmware,JTRE824674
TQAU851331,77823.9,Current,Triple-buffered cohesive architecture,OFEL605313
UCFE121548,45255.34,Saving,Proactive impactful framework,PFHN929298
ADYS185488,72751.58,Saving,Enhanced non-volatile middleware,XAGO583094
POUQ735856,45858.45,Current,Extended explicit protocol,LDVL850643
FDTE622132,99858.82,Saving,Public-key didactic utilization,NUZR314727
DJXP891179,68641.14,Current,Re-engineered system-worthy moderator,LZVZ289931
DUFQ318003,7441.72,Current,Monitored dedicated synergy,ZXIJ198665
FRKG863105,60868.91,Current,Triple-buffered 24hour help-desk,PGDE172715
RWFN929900,27574.1,Saving,Focused context-sensitive open architecture,CKFQ547815
GQTM337618,38152.35,Current,Fully-configurable intermediate neural-net,EJUJ079311
JYDA132823,45426.17,Current,Enterprise-wide maximized support,YLTU025176
TXCQ750677,10007.93,Current,Sharable national model,GPDO173189
DUIH192797,85293.99,Saving,Reduced national project,MAJD644859
HRWJ572026,43063.99,Saving,Re-engineered bandwidth-monitored challenge,LHUA214656
KOGJ989925,33959.27,Current,Devolved optimal portal,SUZT996636
AOIU729669,41657.37,Current,Realigned 24hour neural-net,HIGK175183
ZTOJ748599,42733.72,Current,Innovative bifurcated installation,UQOU209628
OHJO853698,37492.67,Current,Implemented foreground access,KBAE921851
ZTFV860521,6806.62,Current,Implemented neutral portal,GZDK274205
BARF484581,43244.46,Saving,Managed mission-critical function,LMEM149915
VRRH997418,81195.75,Current,Business-focused 24hour data-warehouse,NLFR928664
BVLX661995,58687.86,Saving,Visionary non-volatile core,TUMB962626
ORVJ679087,67034.33,Current,Customizable responsive system engine,XXEQ843188
GNLW103444,87373.38,Current,Synchronized global interface,NIPC246335
RMLF406221,86822.41,Current,Optimized zero administration conglomeration,PYBB934596
FFDT053347,96843.02,Saving,Horizontal systemic toolset,XOIA258835
KLTH965213,35229.45,Current,Managed upward-trending hardware,SODE529671
GDFW900362,15557.54,Saving,Diverse interactive throughput,CKAS377100
IRUR395855,84742.76,Saving,Devolved transitional functionalities,WUHA147195
DMDQ575917,11577.04,Current,Right-sized background firmware,BWQE771812
OOJI735352,80741.41,Saving,Reduced exuding standardization,TUMB962626
ZSOG449305,60938.59,Saving,Progressive didactic instruction set,XAGO583094
CZCW338926,2992.42,Current,Multi-channeled context-sensitive matrices,JHQI046084
RPGA486251,92161.6,Current,Inverse upward-trending definition,WUHA147195
PZZZ801891,18222.42,Saving,Cross-group user-facing matrices,EWIC038657
OXMF969143,7051.58,Current,Self-enabling intermediate firmware,XOIL553470
KBTS990010,9266.59,Saving,Public-key discrete software,MDXQ209166
WKFD189684,37681.82,Saving,Secured web-enabled secured line,SUZT996636
TXOS572857,15825.19,Current,Business-focused context-sensitive circuit,ZWHP280512
COXS789124,77705.88,Current,Managed web-enabled paradigm,XIKT196639
QJIK143672,88345.88,Saving,Expanded multi-tasking middleware,KBAE921851
KYNR119397,75468.14,Saving,Switchable uniform orchestration,XVQC685054
UFDO790552,27283.07,Saving,Self-enabling stable functionalities,VVBC382412
XQRY070532,48617.6,Current,Advanced dynamic monitoring,HWHO933756
ESPJ255136,27389.37,Current,Universal bottom-line analyzer,MZOD815352
JKBE437361,34582.77,Saving,Configurable didactic solution,KJXW793564
LQXT693353,67853.97,Current,Multi-lateral scalable frame,GJJC497826
OVHC566397,52740.72,Current,Fully-configurable hybrid service-desk,PXHW846895
TBVE837727,22129.79,Saving,Mandatory dynamic frame,XOIA258835
FQCM441610,867.94,Saving,Open-source empowering analyzer,JNWL190986
LDBG880273,76758.22,Saving,Profound bi-directional firmware,YDMG187328
UIVI718939,29015.77,Current,Proactive impactful firmware,LLOT249912
WYVT092288,49788.79,Saving,Triple-buffered disintermediate throughput,IVWL319433
KRXO271743,13005.65,Saving,Vision-oriented uniform throughput,CBTE268592
BGJG988187,50076.21,Saving,Extended impactful forecast,HYQD664969
YPOA413090,7300.34,Current,Quality-focused clear-thinking infrastructure,XOIL553470
ELIZ204123,43678.34,Saving,Future-proofed well-modulated focus group,TZHQ597779
CABW794193,86224.79,Saving,Polarized transitional pricing structure,SODE529671
JDUE248709,57382.63,Current,Enterprise-wide context-sensitive hub,KIRL741721
CPJZ224043,29022.57,Current,Ergonomic fault-tolerant implementation,TGJW172232
QNDW630702,96623.35,Saving,Right-sized full-range time-frame,BHBO053457
ZHMZ621953,83219.39,Current,Robust foreground algorithm,WSDX215353
BDPH259007,43727.51,Saving,Diverse background benchmark,EXMK511047
GRMS087167,43624.09,Saving,Customizable modular budgetary management,NUZR314727
SFRZ170744,39637.09,Saving,Enterprise-wide high-level circuit,ZWHP280512
CUMA252394,22235.05,Current,Enterprise-wide homogeneous pricing structure,IGQI807520
AGVF655132,7730.3,Saving,Synergistic client-driven flexibility,CKFQ547815
LWLS851602,53107.42,Saving,Down-sized intermediate moratorium,MGOZ351609
MYWJ986478,35174.86,Current,Advanced motivating moderator,MLYR173906
IJOI083781,23703.26,Saving,De-engineered attitude-oriented Internet solution,RXRH171210
JBBM983692,19807.45,Current,Future-proofed local analyzer,YLTU025176
QFDH986546,76045.51,Saving,Synergized value-added circuit,ISDE896599
ALKA330000,17796.9,Saving,Reverse-engineered bifurcated pricing structure,XOOM755562
AAQQ991141,46448.91,Current,Front-line client-driven software,GMDP061713
PGOX989790,68145.23,Current,Optimized mission-critical firmware,GMDP061713
MHBB099843,86438.26,Current,Programmable attitude-oriented functionalities,NNQE973270
CVTR545829,15180.64,Current,Expanded fresh-thinking task-force,URIE498182
HINN075699,44276.59,Current,Digitized transitional application,JNWL190986
DBRE402818,59182.83,Current,Distributed hybrid circuit,GZRT888167
BQLQ174527,31109.74,Saving,Persevering 3rdgeneration access,CJQQ814311
JCFT182851,5783.32,Saving,Ameliorated executive secured line,PQXU772934
MDBB792304,64502.18,Saving,Programmable client-server knowledgebase,LEIG106903
CACX232961,46324.89,Current,Proactive user-facing interface,NKYJ235677
NYKH446042,45028.4,Saving,Secured background groupware,MHSA409074
HALP347243,32220.52,Saving,Diverse foreground system engine,JTRE824674
DXVE726708,95776.46,Saving,Compatible regional intranet,CJQQ814311
NROQ494771,81115.58,Saving,Customer-focused multimedia framework,VZEF310592
QSPJ223543,50504.45,Saving,Distributed background Graphical User Interface,CKIU544432
ZUNI952549,24849.6,Saving,Synchronized tertiary pricing structure,SZGS284567
PYGR818273,52454.45,Current,Profit-focused motivating workforce,HCSA368900
FXCQ849680,36453.41,Saving,Enterprise-wide background complexity,PHGS776719
LJGV412301,40936.06,Current,Proactive client-server attitude,QDPW884795
WXUQ600320,78943.77,Saving,Business-focused attitude-oriented array,MLYR173906
ZIBA347131,6684.59,Current,Self-enabling web-enabled info-mediaries,HIGK175183
EYLV908419,28486.28,Current,Expanded leadingedge Graphical User Interface,GEHQ223116
HKQF107288,33402.87,Saving,Universal discrete Local Area Network,KOEA765024
DNDN088197,91682.97,Saving,Pre-emptive zero-defect capability,ZWHP280512
RGPK307681,12982.27,Current,Persistent motivating alliance,KIRL741721
AFUI432362,31027.23,Saving,Reactive heuristic knowledgebase,SXMZ363212
IMVP067516,81337.16,Current,Centralized user-facing budgetary management,HYQD664969
NJEM107033,64637.88,Saving,Secured national definition,BTKF004615
SEJR481300,1921.23,Current,Balanced client-server attitude,ZWHP280512
LCMP586463,95121.81,Saving,Adaptive fresh-thinking adapter,VZEF310592
DYIP642789,19281.32,Current,User-friendly well-modulated budgetary management,LFIY191380
ERYC775123,7808.79,Saving,Fundamental coherent implementation,VKIY777252
UBYV972360,66226.73,Saving,Persistent client-server alliance,BEDV306090
LCOD073087,59764.92,Saving,Synchronized uniform approach,KBAE921851
GDPK438027,18166.51,Saving,Business-focused cohesive open system,SYZD256523
FKIY686272,72146.18,Saving,Devolved 24/7 knowledge user,LQCJ770054
UMVG271353,36493.51,Current,Extended multi-tasking Internet solution,PYBB934596
XQPT060488,96961.9,Saving,Fundamental 24hour hardware,HCSA368900
ZAVQ927396,75263.88,Current,Ergonomic systemic projection,EKHB428973
XKNO078977,53447.71,Saving,Front-line zero tolerance moderator,ZWHP280512
IEFP362732,90407.04,Current,Persistent holistic projection,MGOZ351609
PNTD716204,67862.85,Current,Open-architected object-oriented neural-net,MHSA409074
HBLF169039,46221.83,Current,Cross-platform encompassing contingency,PHGS776719
VMIP106801,50340.38,Current,Vision-oriented 6thgeneration Graphical User Interface,OYOV725199
VABJ933267,81707.43,Saving,Diverse non-volatile focus group,YLTU025176
ZONH808390,87312.89,Saving,Reactive fresh-thinking benchmark,DWQD412478
WTHX932727,87424.28,Current,Monitored solution-oriented application,NKYJ235677
JYSN026676,71168.96,Saving,Reverse-engineered mobile firmware,GENA931066
TXUS507088,28577.8,Saving,Down-sized 6thgeneration moratorium,YDMG187328
AVWD929022,27351.85,Saving,Quality-focused object-oriented alliance,OFEL605313
SHFF533320,83121.57,Saving,Monitored analyzing budgetary management,LEIG106903
TXHK450369,81688.66,Saving,Ergonomic cohesive frame,WUHA147195
HMFS620805,41548.2,Saving,Diverse optimal approach,BQDQ661794
OYKY965999,23654.23,Current,Compatible mission-critical knowledgebase,ZXIJ198665
JSLI210629,22531.42,Current,Reverse-engineered clear-thinking contingency,XYZZ183067
MOCW317536,83933.71,Saving,Function-based human-resource benchmark,MAJD644859
EWAT617300,79158.93,Current,Centralized content-based concept,LFIY191380
WDCL355051,28759.25,Saving,Synchronized actuating model,IKUZ086403
OPSO247925,75908.23,Saving,Self-enabling systematic Graphic Interface,IKUZ086403
WRZD920487,61573.29,Current,Front-line web-enabled concept,ZXIJ198665
SSRN515902,25666.8,Saving,Managed scalable middleware,LPRZ759856
ZZLX883825,11207.57,Current,Object-based mission-critical capacity,PQXU772934
VSYF543551,30185.0,Saving,Advanced web-enabled benchmark,XVQC685054
RFLX624728,42040.57,Saving,Diverse dynamic focus group,SADT358895
CJSS290096,6374.43,Current,Fundamental global application,KCWZ826068
SLNG217400,63232.3,Saving,Multi-layered well-modulated customer loyalty,SODE529671
RTFE247119,71882.58,Saving,Persistent mobile protocol,AKMU829962
BKMI616076,256.28,Current,Re-engineered fresh-thinking emulation,GZRT888167
OFGI617623,57109.31,Saving,Horizontal transitional array,IOBD204556
NJEG165441,52396.11,Saving,Polarized intangible system engine,WSDX215353
BNWG494290,95345.03,Saving,Reactive leadingedge adapter,JFEV711332
CPTT932420,39106.33,Saving,Compatible zero administration methodology,IKUZ086403
FHIL653869,63603.51,Saving,Multi-layered value-added definition,EXVY466513
MYEN890472,74756.93,Current,Mandatory discrete middleware,FQYX938911
KUKP421643,34545.77,Saving,Public-key asynchronous firmware,ACIW843991
VNBJ761437,77172.99,Saving,Upgradable homogeneous artificial intelligence,WNNB144485
RYOU564672,13427.62,Current,Programmable holistic model,GZRT888167
XTSB027729,81369.54,Current,Networked 3rdgeneration frame,CKIU544432
HLNY605033,98083.84,Current,Object-based mission-critical project,EIHT920116
OVGA671822,81168.62,Saving,Ameliorated zero administration migration,PGDE172715
OQUQ653859,3794.68,Current,Synergized composite standardization,FSIA572025
QWTQ760550,79131.81,Saving,Stand-alone next generation interface,WHQR516060
YWYC867066,93343.76,Current,Phased content-based workforce,OFEL605313
SSFY891982,98913.36,Current,Persistent background knowledgebase,JFEV711332
XARN494269,25406.05,Current,Synergistic zero administration encoding,NIPC246335
KJVU901459,28682.48,Saving,Seamless global monitoring,IGQI807520
OGAL498243,86593.25,Saving,Up-sized national budgetary management,NEGT726527
NPQA664315,12535.05,Current,Streamlined multimedia array,AKMS659171
KAGO017092,88959.7,Current,Self-enabling needs-based alliance,LMEM149915
QUCO262829,89474.29,Current,Switchable 3rdgeneration knowledgebase,ENGT343626
EQQV959274,97374.99,Current,Up-sized radical info-mediaries,KCWZ826068
DFZP662080,36797.96,Current,Sharable web-enabled website,GENA931066
FNGV444359,80134.69,Current,Enhanced 24/7 support,QICZ560821
XJZV242536,7984.81,Current,Fully-configurable 24/7 contingency,YLTU025176
RISO603967,54592.89,Saving,Balanced heuristic help-desk,EPUA790320
HWYN481875,8098.88,Saving,Decentralized heuristic structure,VVBC382412
SOPH854662,30718.94,Current,Robust zero-defect process improvement,YLTU025176
QNJS125949,16747.81,Current,Networked contextually-based concept,HWHO933756
NSTE066617,44768.25,Current,Reverse-engineered radical protocol,QICZ560821
ESXT833587,61523.66,Current,Multi-layered zero-defect Internet solution,CHGF541107
AJDH482084,63982.98,Current,Virtual radical artificial intelligence,SNFV185188
EEMA001440,67151.27,Saving,Horizontal upward-trending open system,TGJW172232
CGJD038975,51357.29,Current,Optional secondary Graphic Interface,NCFA878057
VMJF240592,95283.66,Saving,Pre-emptive interactive interface,EWIC038657
TZDT489629,3576.42,Current,Phased stable hierarchy,URIE498182
HUAO966186,77873.69,Saving,Integrated mobile extranet,DMOK677002
DWFK313795,38347.15,Current,Stand-alone composite archive,XIKT196639
PLBH619202,60548.97,Saving,Polarized content-based database,IGQT760740
OBGJ244474,94887.47,Current,User-friendly national instruction set,EXVY466513
EYHK107651,76332.14,Current,Team-oriented disintermediate protocol,MHSA409074
FRSL145634,52993.04,Saving,Monitored needs-based support,BQDQ661794
CXXZ157449,64991.12,Current,Phased 24hour application,OXAH120735
JASH045418,2688.74,Saving,Quality-focused 4thgeneration software,IOBD204556
GSMM203858,51822.75,Current,Distributed hybrid Graphic Interface,TUMB962626
FTWK164693,26251.49,Saving,Robust maximized framework,UNXK939836
IAQQ067089,21535.59,Current,Total reciprocal array,HCSA368900
RXWU431132,69428.67,Current,Mandatory next generation application,LZVZ289931
KFZM321196,12351.48,Saving,Right-sized methodical service-desk,GYFP877470
APPI544708,17348.37,Current,Secured object-oriented Graphical User Interface,YCYV647725
XHSI676626,99726.51,Current,Advanced client-driven synergy,SPGY642480
MCXR402578,66817.2,Current,Business-focused hybrid encoding,KIRL741721
BMMH605028,55044.72,Saving,Advanced didactic parallelism,AKMU829962
BSDF030252,85151.07,Current,Re-contextualized maximized standardization,YCYV647725
TLHD926009,79390.27,Saving,Switchable fresh-thinking extranet,QVTB972832
ZIUS205489,12224.11,Saving,Ameliorated responsive open architecture,FSIA572025
DWRT655834,23749.94,Saving,Distributed bottom-line methodology,OUFS277423
TPBK660361,36153.56,Saving,Implemented local productivity,MHSA409074
EYNM023515,46793.84,Current,Organic discrete service-desk,NKYJ235677
XUCN715605,61233.64,Saving,Innovative asynchronous database,RQGS822587
HSKJ794064,30998.14,Saving,Up-sized logistical capability,ODMA736077
SXCY898664,52617.0,Current,Front-line content-based Graphic Interface,BEDV306090
WTPI876805,82351.61,Current,Fundamental dynamic ability,GYFP877470
ZUDS220956,97240.74,Saving,Synergized client-driven database,RMWH425563
SMJI028253,45052.45,Saving,Down-sized leadingedge leverage,SPGY642480
HTWF385202,12920.63,Current,Optimized reciprocal core,IGQI807520
